# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,37.33,166.17,523.5,3808.9,5.66,23.2,2193.7,4604.6,37
1,290.57,416.33,4761.9,4876.8,37.87,55.0,5558.2,5684.1,129
2,302.81,422.31,5105.4,5164.0,39.54,55.9,5900.6,5969.5,124
3,297.27,411.07,5221.9,5299.7,38.58,54.9,6013.7,6102.3,126
4,307.22,446.64,5302.0,5303.8,40.03,55.7,6094.5,6111.6,120
5,299.0,419.97,5309.2,5313.3,38.91,55.4,6102.5,6123.3,125
6,305.16,417.82,5320.2,5333.9,39.74,56.8,6115.4,6145.6,121
7,297.69,420.82,5312.5,5331.1,38.69,54.6,6108.2,6136.0,125
8,304.67,414.04,5306.2,5307.5,39.69,55.3,6103.8,6120.6,121
9,305.01,427.35,5307.2,5309.3,39.8,55.4,6107.8,6126.8,121
10,291.62,416.05,5268.8,5310.6,37.87,55.5,6068.4,6124.4,140
