# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,44.24,184.2,440.7,2510.0,6.89,26.8,2146.1,3360.0,29
1,299.62,418.38,4695.7,4795.5,39.12,57.1,5530.7,5636.6,125
2,303.52,415.26,5026.0,5056.0,39.68,62.4,5871.1,5941.0,123
3,307.42,417.97,5056.9,5071.1,40.05,58.3,5912.5,5936.7,122
4,302.0,419.66,5070.9,5071.8,39.29,55.4,5927.5,5945.1,124
5,301.87,422.84,5074.8,5081.2,39.28,56.9,5933.4,5956.3,124
6,298.65,411.87,5080.5,5081.3,38.87,55.9,5940.7,5957.3,126
7,306.71,419.55,5080.7,5082.0,39.88,55.9,5941.6,5959.2,122
8,306.05,430.57,5081.0,5081.8,39.91,54.9,5943.0,5962.1,122
9,311.2,412.94,5082.6,5085.4,40.48,54.5,5945.4,5963.4,119
10,301.82,420.21,5054.4,5097.3,39.22,56.4,5917.3,5976.8,135
