# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,159.03,267.0,1520.0,4274.3,23.28,36.0,3172.3,5102.9,28
1,350.25,416.7,5897.1,6201.8,45.84,55.0,6723.5,7036.6,130
2,356.9,420.66,6425.5,6466.9,46.62,56.0,7247.6,7300.4,126
3,350.54,426.92,6466.7,6467.6,45.78,56.7,7288.8,7305.0,131
4,351.35,414.71,6473.1,6479.9,45.91,55.3,7297.7,7318.4,128
5,349.87,419.59,6479.6,6480.6,45.65,55.0,7306.5,7322.8,131
6,348.43,418.96,6486.3,6496.5,45.84,56.0,7317.9,7351.5,133
7,349.92,419.7,6493.4,6500.2,45.64,55.6,7326.1,7347.2,132
8,353.84,427.38,6491.6,6493.7,46.25,55.0,7325.2,7342.8,128
9,351.44,421.56,6494.4,6497.4,45.91,55.8,7326.9,7344.4,130
10,343.87,463.0,6464.4,6508.6,44.78,55.8,7299.0,7358.3,149
