# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,38.31,169.6,507.7,4217.8,5.9,23.3,2230.5,5070.7,37
1,296.64,415.53,4702.0,4795.2,38.66,56.0,5561.3,5659.0,126
2,301.11,423.77,5051.0,5059.4,39.13,55.3,5906.5,5930.2,123
3,298.6,409.88,5081.5,5087.8,38.79,54.8,5936.1,5956.0,124
4,298.37,418.9,5088.6,5089.5,38.77,54.9,5945.3,5962.0,124
5,304.21,429.77,5088.8,5089.7,39.59,55.0,5946.3,5962.7,121
6,304.34,422.34,5089.0,5089.8,39.6,55.9,5948.0,5963.8,121
7,303.16,428.01,5089.1,5090.0,39.46,56.6,5950.2,5964.5,121
8,307.73,429.22,5089.4,5090.4,40.02,55.2,5953.3,5968.8,118
9,305.71,422.24,5090.2,5091.4,39.74,55.5,5955.8,5973.4,120
10,299.26,438.01,5052.8,5094.7,38.94,56.5,5917.6,5974.3,134
