# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,177.18,263.09,1394.3,4466.9,24.87,36.6,3011.9,5280.6,33
1,349.89,424.27,5700.2,5791.1,45.84,55.5,6509.0,6615.7,134
2,347.95,425.19,6027.5,6064.8,45.42,55.3,6832.2,6886.9,133
3,360.96,417.2,6098.0,6199.3,47.24,55.7,6900.8,7013.4,121
4,350.94,432.55,6203.8,6215.7,46.02,56.2,6980.6,7028.6,132
5,357.79,431.76,6216.4,6219.7,46.83,56.4,6981.4,6993.6,124
6,352.76,418.87,6340.0,6348.6,46.18,55.4,7106.7,7124.2,129
7,358.11,473.55,6348.2,6348.9,46.68,55.6,7117.8,7127.0,126
8,347.52,425.54,6348.5,6349.2,45.44,56.1,7117.1,7124.4,131
9,348.89,417.32,6348.8,6349.5,45.66,55.7,7118.4,7129.2,132
10,350.44,416.3,6312.6,6349.7,46.08,57.0,7086.5,7168.3,142
