# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
epoch,mean_cpu,max_cpu,mean_ram_mb,max_ram_mb,mean_host_cpu,max_host_cpu,mean_host_ram_mb,max_host_ram_mb,samples
0,165.04,263.26,1457.8,4823.6,23.2,37.5,3091.0,5661.7,23
1,345.45,425.77,5570.9,5772.0,45.25,56.2,6397.7,6613.0,134
2,352.98,427.92,5942.5,5984.1,46.07,55.5,6766.2,6816.6,127
3,351.49,426.97,5991.8,5995.4,45.87,56.3,6814.3,6833.7,127
4,357.88,426.72,6037.6,6053.2,46.77,55.9,6861.0,6888.7,120
5,346.75,415.73,6128.6,6204.9,45.21,54.6,6953.5,7041.2,133
6,343.94,420.02,6217.1,6223.2,44.79,55.2,7043.5,7065.1,132
7,350.01,417.17,6236.1,6242.0,45.69,55.5,7066.0,7088.5,128
8,352.27,422.71,6241.6,6242.3,46.09,55.8,7073.0,7090.3,125
9,351.22,432.09,6242.3,6243.2,45.87,55.6,7073.1,7090.4,126
10,341.8,436.56,6190.5,6248.7,44.51,55.7,7022.3,7097.7,146
